S. No,Name,Item,Value
1,Alexander,Traffic Challan,285
2,Mikka Jai Kishan,Penalty Taxes,644
3,Ranjan,Traffic Challan,498
4,Jazzy,Penalty Taxes,600
5,Akhilesh,Traffic Challan,617
6,Jolly,Charges Electric Car,169
7,Gurpreet,Charges Electric Car,401
8,Gurpreet,Traffic Challan,41
9,Olanga,Utility Bills,717
10,Irawati,Penalty Taxes,160
11,Jolly,Charges Electric Car,298
12,Irawati,Penalty Taxes,355
13,Akhilesh,Utility Bills,401
14,Oshin,Utility Bills,748
15,Bruce Lee,Traffic Challan,868
16,Mikka Jai Kishan,Penalty Taxes,309
17,Oshin,Traffic Challan,555
18,Jazzy,Traffic Challan,431
19,Nizam,Charges Electric Car,243
20,Esther,Traffic Challan,367
21,Benz,Penalty Taxes,815
22,Irawati,Traffic Challan,534
23,Ganta Bhadriah,Traffic Challan,898
24,Gurpreet,Charges Electric Car,90
25,Chako,Penalty Taxes,86
26,Alexndra,Traffic Challan,614
27,Kalpataru,Charges Electric Car,389
28,Jemmy,Penalty Taxes,293
29,Jemmy,Traffic Challan,821
30,Swetlana,Traffic Challan,353
31,Mikka Jai Kishan,Utility Bills,334
32,Peter,Traffic Challan,863
33,Ranjan,Traffic Challan,474
34,Esther,Utility Bills,434
35,Nootan,Traffic Challan,551
36,Oshin,Traffic Challan,479
37,Jazzy,Penalty Taxes,757
38,Akhilesh,Utility Bills,67
39,Nootan,Penalty Taxes,788
40,Xian Pen,Penalty Taxes,292
41,Amanpreet,Penalty Taxes,687
42,Irawati,Traffic Challan,567
43,Chako,Charges Electric Car,314
44,Illiakumbuku,Traffic Challan,344
45,Peturu,Utility Bills,14
46,Achilles,Traffic Challan,192
47,Alexndra,Traffic Challan,328
48,Gurpreet,Utility Bills,535
49,Akhilesh,Penalty Taxes,986
50,Swetlana,Traffic Challan,548
51,Jerry,Penalty Taxes,482
52,Swetlana,Charges Electric Car,964
53,Amanpreet,Utility Bills,656
54,Peturu,Penalty Taxes,844
55,Peter,Traffic Challan,69
56,Nizam,Utility Bills,852
57,Chako,Charges Electric Car,857
58,Agha Khan,Utility Bills,765
59,Michael Jackson,Penalty Taxes,376
60,Akhilesh,Traffic Challan,83
61,Gurpreet,Traffic Challan,398
62,Sikandar,Traffic Challan,54
63,Xian Pen,Traffic Challan,794
64,Sikandar,Traffic Challan,966
65,Alexndra,Charges Electric Car,572
66,Jabrael,Charges Electric Car,324
67,Akhilesh,Penalty Taxes,109
68,Nootan,Charges Electric Car,250
69,Jabrael,Utility Bills,650
70,Swetlana,Utility Bills,851
71,Michael Jackson,Traffic Challan,876
72,Swetlana,Utility Bills,769
73,Sikandar,Utility Bills,273
74,Oshin,Penalty Taxes,991
75,Boko,Utility Bills,386
76,Akhilesh,Penalty Taxes,206
77,Jemmy,Traffic Challan,210
78,Yoshiro Mori,Charges Electric Car,582
79,Sikandar,Traffic Challan,961
80,Saurabh,Traffic Challan,437
81,Illiakumbuku,Utility Bills,463
82,Jerry,Penalty Taxes,474
83,Vivian,Traffic Challan,45
84,Xian Pen,Penalty Taxes,819
85,Benz,Penalty Taxes,353
86,Gutenberg,Utility Bills,765
87,Jerry,Charges Electric Car,611
88,Nizam,Utility Bills,268
89,Yoshiro Mori,Utility Bills,798
90,Jemmy,Charges Electric Car,443
91,Gurpreet,Traffic Challan,221
92,Michael Jackson,Charges Electric Car,61
93,Swetlana,Charges Electric Car,849
94,Nizam,Penalty Taxes,984
95,Benz,Charges Electric Car,624
96,Ho Chi,Penalty Taxes,564
97,Jerry,Traffic Challan,490
98,Oshin,Penalty Taxes,55
99,Saurabh,Penalty Taxes,676
100,Xian Pen,Penalty Taxes,875
101,Peter,Utility Bills,638
102,Akhilesh,Utility Bills,749
103,Jabrael,Traffic Challan,572
104,Agha Khan,Utility Bills,127
105,Nootan,Charges Electric Car,632
106,Peturu,Charges Electric Car,226
107,Peter,Utility Bills,82
108,Oshin,Penalty Taxes,126
109,Jemmy,Penalty Taxes,234
110,Yoshiro Mori,Utility Bills,620
111,Alexander,Penalty Taxes,905
112,Gutenberg,Charges Electric Car,784
113,Mikka Jai Kishan,Penalty Taxes,422
114,Irawati,Traffic Challan,944
115,Sohrab,Traffic Challan,783
116,Bruce Lee,Utility Bills,834
117,Jolly,Utility Bills,481
118,Walter,Traffic Challan,868
119,Sohrab,Charges Electric Car,719
120,Xian Pen,Penalty Taxes,2
121,Irawati,Charges Electric Car,262
122,Irawati,Traffic Challan,156
123,Akhilesh,Charges Electric Car,37
124,Peter,Penalty Taxes,176
125,Achilles,Utility Bills,730
126,Benz,Penalty Taxes,984
127,Bruce Lee,Traffic Challan,551
128,Yoshiro Mori,Traffic Challan,324
129,Illiakumbuku,Traffic Challan,89
130,Nootan,Traffic Challan,611
131,Esther,Traffic Challan,415
132,Gutenberg,Utility Bills,22
133,Vivian,Traffic Challan,388
134,Esther,Traffic Challan,885
135,Gabriel,Penalty Taxes,72
136,Xian Pen,Traffic Challan,525
137,Olanga,Utility Bills,192
138,Agha Khan,Charges Electric Car,40
139,Jolly,Traffic Challan,56
140,Achilles,Traffic Challan,400
141,Olanga,Utility Bills,542
142,Michael Jackson,Traffic Challan,499
143,Michael Jackson,Traffic Challan,209
144,Nootan,Charges Electric Car,616
145,Jolly,Traffic Challan,275
146,Nizam,Charges Electric Car,364
147,Jabrael,Charges Electric Car,592
148,Mercedes,Penalty Taxes,731
149,Bruce Lee,Penalty Taxes,301
150,Nootan,Charges Electric Car,999
151,Alexndra,Utility Bills,542
152,Vivian,Penalty Taxes,113
153,Gabriel,Charges Electric Car,473
154,Ganta Bhadriah,Utility Bills,19
155,Peter,Utility Bills,704
156,Peturu,Utility Bills,337
157,Jabrael,Traffic Challan,433
158,Jabrael,Traffic Challan,49
159,Mikka Jai Kishan,Utility Bills,231
160,Sohrab,Penalty Taxes,661
161,Esther,Utility Bills,205
162,Kalpataru,Utility Bills,234
163,Peturu,Charges Electric Car,562
164,Swetlana,Traffic Challan,280
165,Saurabh,Penalty Taxes,171
166,Kalicharan,Charges Electric Car,517
167,Peter,Penalty Taxes,345
168,Ho Chi,Penalty Taxes,110
169,Jolly,Penalty Taxes,607
170,Bruce Lee,Traffic Challan,463
171,Vivian,Utility Bills,530
172,Newton,Traffic Challan,432
173,Jemmy,Traffic Challan,587
174,Gabriel,Penalty Taxes,314
175,Peturu,Charges Electric Car,337
176,Amanpreet,Charges Electric Car,909
177,Kalpataru,Utility Bills,549
178,Agha Khan,Traffic Challan,317
179,Xian Pen,Traffic Challan,849
180,Jolly,Charges Electric Car,100
181,Bruce Lee,Utility Bills,870
182,Peter,Utility Bills,784
183,Olanga,Charges Electric Car,601
184,Jazzy,Utility Bills,280
185,Swetlana,Penalty Taxes,960
186,Gutenberg,Utility Bills,741
187,Jazzy,Penalty Taxes,738
188,Jerry,Traffic Challan,427
189,Gurpreet,Traffic Challan,778
190,Saurabh,Traffic Challan,164
191,Walter,Utility Bills,644
192,Saurabh,Utility Bills,66
193,Olanga,Traffic Challan,41
194,Gurpreet,Charges Electric Car,298
195,Yoshiro Mori,Traffic Challan,775
196,Mikka Jai Kishan,Penalty Taxes,883
197,Bruce Lee,Traffic Challan,629
198,Saurabh,Traffic Challan,335
199,Jolly,Charges Electric Car,562
200,Ganta Bhadriah,Traffic Challan,195
201,Henry,Utility Bills,421
202,Peter,Utility Bills,188
203,Yoshiro Mori,Traffic Challan,631
204,Sikandar,Penalty Taxes,247
205,Bruce Lee,Penalty Taxes,616
206,Xian Pen,Charges Electric Car,881
207,Ranjan,Traffic Challan,606
208,Swetlana,Traffic Challan,605
209,Xian Pen,Utility Bills,537
210,Nizam,Charges Electric Car,903
211,Gutenberg,Penalty Taxes,819
212,Jerry,Penalty Taxes,192
213,Michael Jackson,Traffic Challan,934
214,Peter,Traffic Challan,3
215,Walter,Traffic Challan,957
216,Gabriel,Traffic Challan,901
217,Benz,Utility Bills,517
218,Irawati,Penalty Taxes,974
219,Chako,Traffic Challan,898
220,Gurpreet,Traffic Challan,782
221,Sikandar,Traffic Challan,324
222,Swetlana,Charges Electric Car,409
